id,name,tag,members,villages,points,all_points,rank
2,Templer,TMP,1,1,2142,2142,310
3,Die Verwaisten,~L0st~,25,96,308940,308940,26
4,Sup Bozzaz,BOZ,2,1,576,576,404
5,Katapult Klub,KK,15,44,162920,162920,45
6,Angry Farmers SW1,AF-SW1,22,22,41264,41264,122
8,Banane,Banane,25,209,810430,810430,9
10,Angryfarmers-NO1,AF-NO1,21,28,48175,48175,99
11,Next World,NW,19,24,48087,48087,103
12,Lass Los,LOS!,11,40,128123,128123,53
13,PP Farmen-01,PP,2,2,1264,1264,351
14,Angry Farmers - SO1,AF-SO1,20,20,44612,44612,112
15,Smile,SM,3,2,2583,2583,285
16,TheIncredible,TI,1,1,168,168,455
17,Immer Freundlich,MfG,1,0,1570,1570,330
18,Non Player Charakter,NPC,21,80,248357,248357,31
19,Premium Stamm,~ps~,25,27,34630,34630,132
20,PP Farmen-02,PP2,19,22,32738,32738,135
21,LegendofWolves,LoW,20,31,75405,75405,74
22,Premium Farmers,PPF,5,4,5496,5496,236
23,pp farmen mit Genuss,-PF-,3,3,4016,4016,263
25,SCARY HOUSE,Horror,11,18,35496,35496,131
27,Crazy Farmers,CF-pp,5,6,9453,9453,203
28,Wallstreet,WS,25,207,851002,851002,8
29,Premium+Flaggen,*PP-FT,20,21,52350,52350,96
30,Main und Wings 2,MuW2,18,46,131125,131125,52
32,# Das Letzte Gericht #,-DLG-,21,126,506456,506456,15
35,Mordor Farmedition,MRDF,10,14,44280,44280,113
36,Bockwurstbowle,BWB,12,13,16309,16309,178
37,International Gaming Agency,IGA,13,33,72182,72182,77
39,Angry Farmers -NO4,AF-NO4,13,23,42958,42958,117
41,Die Dunklen Gefährten,**DG**,24,80,212013,212013,34
42,Deppen vom Dienst,DvD,3,2,957,957,371
47,Pa1n,-P-,9,25,62796,62796,84
49,Melone,Melone,25,94,328954,328954,22
51,Senat,-SEN-,23,125,450577,450577,18
52,Casino,300,19,78,209811,209811,35
55,Puzzles,Pzls,1,1,6418,6418,227
56,Kuschelweich,Kwh,15,25,53291,53291,94
57,asdf,asdf,1,0,2173,2173,309
59,Wölfe,WWW,24,109,311120,311120,24
61,AFRand,AFR,19,40,119954,119954,56
63,PHALANX,PHA,25,137,384100,384100,20
64,AF am äusseren Rande,AF RA,18,23,63739,63739,83
65,AFRA,AFRA,22,38,95863,95863,66
66,Just the 2 of us,JT2OF,1,0,1927,1927,320
67,NARNIA,NARNIA,1,0,400,400,426
70,BlauesBlut,BB,3,3,2446,2446,294
72,GeldspieltkeineRolex,ROLEX,3,3,5244,5244,241
74,PP Farm 3,PPF3,1,1,680,680,392
77,Suits,-STS-,25,130,454307,454307,17
78,komtnoch,komt,10,10,18941,18941,172
80,PP Push,PPP,1,1,605,605,401
81,Entons Imperium,EI,17,42,138592,138592,50
82,Murmel,Murmel,15,19,23586,23586,153
83,Klostergarten,HORTUS,17,46,165648,165648,44
84,Legio Maxima,LMAX,2,2,4152,4152,259
85,wir kämpfen zusammen,~WKZ~,17,28,67885,67885,80
86,"Leichte Muse, alter Adel",LMAA,1,1,1016,1016,364
87,Main und Wings,MuW,25,54,157189,157189,47
88,PP-Buddy's,Points,2,2,5309,5309,239
89,BAM!,BAM!,1,0,2522,2522,290
90,Denk-Drucklufttechnik,D-D,10,18,36197,36197,128
91,truism,truism,3,3,2552,2552,289
94,Nacktschnecken,nudes,1,1,438,438,421
95,Pantheon,PTHN,24,75,182897,182897,38
98,Auf gute Zeiten,Agz,2,1,1981,1981,319
99,PremiumStamm 3,~ps3~,25,26,42092,42092,120
101,Monkey of war,MOW,5,6,8463,8463,211
102,GoforGood,GfG,1,1,711,711,389
103,Phönix aus der Asche,PHÖNIX,11,21,28288,28288,144
104,Stamm,Baum,1,0,2421,2421,296
105,Himmelsrand,Skyrim,1,0,0,0,463
107,Jack Daniels,JDs,8,8,19631,19631,169
108,Project X,XXXXXX,9,13,28840,28840,142
110,Anime,Anime,8,14,43322,43322,114
114,Gummibärenbande2,GB²,19,99,274249,274249,30
115,frei,frei,1,1,2288,2288,302
116,Bubble Bobble,Bubble,6,4,3909,3909,264
117,MyTribe,MYTRIB,1,0,463,463,418
119,Alte Herren süd,AHs,12,22,61297,61297,85
120,Nur zum Pöbeln hier.,Pöbel,6,18,25249,25249,148
123,Green Street Elite,GSE,22,351,1566143,1566143,3
124,UNIQUE,UQ,1,1,752,752,384
125,Hackschnizzle,Hash,2,4,8232,8232,214
127,Sybolics Flaggentausch,CLUB,1,0,26,26,459
128,Legend,Legend,25,186,572962,572962,13
129,Team Taktlos,T-Takt,3,4,10867,10867,194
130,Name ist egal,Nice,22,605,2320219,2320219,1
131,NoName,NN,15,29,90738,90738,68
132,Atari,AT,1,1,4234,4234,257
133,Die Wilden Gänse,DWG,1,0,0,0,464
135,ACAJ,Derdie,1,0,2023,2023,317
136,Digg-Sagger goes Stämme,[DSgS],6,12,38120,38120,126
138,Spaß_am_Spiel,SAS,3,3,4215,4215,258
139,coole Looser - die Unbesiegbaren,CL,4,7,10033,10033,196
140,-259-,-259-,6,5,4059,4059,262
141,König Pilsener,Köpi,4,3,1646,1646,327
142,Freunde,*F*,5,4,4675,4675,252
144,Non-Player-Character,NPC-2,10,19,58784,58784,86
145,Unleashed,Elite,1,1,673,673,396
147,Premium Sammler,P-S,1,1,2148,2148,313
148,Orden des Raben,OdR,24,253,981974,981974,7
