id,name,ally,villages,points,att,def,sup,all
798,Krissy,513,1,551,0,7560,0,7560
1211,amigote,318,1,2224,0,382,0,382
4652,ThEErAsEr,0,1,2862,0,0,0,0
7576,Roberto Bashio,0,1,398,0,49,0,49
9178,Eric,0,1,532,0,0,0,0
9966,GERD,498,1,775,0,0,0,0
10320,Bigmama,0,1,411,0,4551,0,4551
11451,birax,0,1,781,0,5476,0,5476
16262,Nodor,518,1,796,0,0,0,0
22718,hwei,340,1,1643,56,0,0,56
46212,Ragewear,144,1,3682,3282,0,0,3282
51181,Rattenbaron,0,1,543,0,0,0,0
51578,CrashTestDummy,0,1,2026,7409,2495,0,9904
52326,Leopold55,185,1,1461,0,0,0,0
52534,roter rabe,342,1,1154,0,5138,0,5138
55121,MGDriver,0,1,347,0,529,0,529
60395,schmusekater46,14,1,838,0,129,0,129
60416,Skally,0,1,541,62,0,0,62
60462,framichel,342,1,1030,4355,12226,0,16581
63348,Konv,521,1,1199,0,0,0,0
64657,Sir Fitz Oblong,424,1,452,87,0,0,87
72835,kasperkarl,350,1,1680,26,0,0,26
73159,Dnepr,0,1,162,0,117,0,117
80523,wsdut,0,1,26,0,0,0,0
92165,Sir-AS,0,0,0,0,1886,0,1886
96264,Vatti,0,1,1815,0,8966,0,8966
96551,Lord Bergi,56,1,841,0,0,0,0
98114,jerry77,612,1,268,0,0,0,0
101438,otzelotl,101,2,4352,3342,0,0,3342
104322,Taps0815,0,1,347,0,1188,0,1188
106569,Red_Ice_Dragon,152,1,246,7,1835,0,1842
106967,Terence Hill,497,8,20615,12883,0,7226,20109
111003,the dark kasa,0,1,184,0,0,0,0
112157,RiddleAura,0,1,1744,0,48353,0,48353
116647,Doknom,0,0,0,0,1640,0,1640
119382,rambow,464,4,13250,23978,40,89,24107
120926,schwazer ritter,0,1,237,0,138,0,138
128761,logos,0,1,1493,0,0,0,0
129353,Spaki,0,1,1447,0,0,0,0
129687,~TheRock~,0,0,0,0,191,0,191
130020,Coyote_WIN,0,1,26,0,0,0,0
131441,Lübby,557,1,835,0,0,0,0
133852,Broncho,625,2,8481,5831,654,0,6485
140127,tandem 270,0,1,561,0,10,0,10
142049,theillnes,235,2,3453,0,1909,0,1909
