run_utc,trigger,result,world_changed,data_last_modified,players,villages,allies,new_conquers,world_requests,guest_requests,inaday_changed_types,inaday_full_scrape,duration_s,errors
2026-09-11T18:49:35+00:00,push,neu,1,"Fri, 11 Sep 2026 17:52:53 GMT",10246,29290,407,2175,8,133,,1,204.4,
2026-09-11T19:24:09+00:00,schedule,neu,1,"Fri, 11 Sep 2026 18:52:53 GMT",10258,29326,409,14,8,7,,0,17.3,
2026-09-11T20:26:29+00:00,schedule,neu,1,"Fri, 11 Sep 2026 19:47:12 GMT",10271,29373,409,14,8,7,,0,17.8,
2026-09-11T21:11:12+00:00,push,neu,1,"Fri, 11 Sep 2026 20:47:12 GMT",10280,29412,411,13,8,7,,0,15.5,
2026-09-11T21:24:12+00:00,schedule,neu,1,"Fri, 11 Sep 2026 20:52:53 GMT",10281,29412,411,0,8,7,,0,17.6,
2026-09-11T22:25:07+00:00,schedule,neu,1,"Fri, 11 Sep 2026 21:52:54 GMT",10294,29453,411,23,8,133,loot_vil loot_res scavenge kill_att kill_def kill_sup conquer,1,185.9,
2026-09-11T23:23:19+00:00,schedule,neu,1,"Fri, 11 Sep 2026 22:47:11 GMT",10301,29476,411,8,8,7,,0,14.3,
2026-09-12T00:32:13+00:00,schedule,neu,1,"Fri, 11 Sep 2026 23:53:03 GMT",10008,29454,411,13,8,133,kill_def,1,181.6,
2026-09-12T01:24:06+00:00,schedule,neu,1,"Sat, 12 Sep 2026 00:47:11 GMT",10010,29464,412,9,8,7,,0,16.2,
2026-09-12T02:26:34+00:00,schedule,neu,1,"Sat, 12 Sep 2026 01:53:03 GMT",10012,29470,412,6,8,7,,0,14.2,
2026-09-12T03:25:42+00:00,schedule,neu,1,"Sat, 12 Sep 2026 02:52:53 GMT",10012,29470,412,4,8,7,,0,17.7,
2026-09-12T04:25:40+00:00,schedule,neu,1,"Sat, 12 Sep 2026 03:53:03 GMT",10013,29474,412,2,8,7,,0,17.4,
2026-09-12T05:24:32+00:00,schedule,neu,1,"Sat, 12 Sep 2026 04:52:54 GMT",10015,29479,412,4,8,7,,0,13.9,
2026-09-12T06:30:10+00:00,schedule,neu,1,"Sat, 12 Sep 2026 05:53:02 GMT",10017,29491,412,9,8,7,,0,16.2,
2026-09-12T07:23:51+00:00,schedule,neu,1,"Sat, 12 Sep 2026 06:47:12 GMT",10021,29512,413,20,8,7,,0,18.0,
2026-09-12T07:52:20+00:00,push,neu,1,"Sat, 12 Sep 2026 06:53:02 GMT",10022,29515,413,2,8,7,,0,14.2,
2026-09-12T08:09:15+00:00,schedule,neu,1,"Sat, 12 Sep 2026 07:53:03 GMT",10029,29542,413,12,8,7,,0,17.7,
2026-09-12T09:03:21+00:00,schedule,neu,1,"Sat, 12 Sep 2026 08:52:54 GMT",10031,29559,413,10,8,7,,0,17.6,
2026-09-12T09:10:00+00:00,push,neu,1,"Sat, 12 Sep 2026 08:53:02 GMT",10031,29559,413,0,8,7,,0,17.1,
2026-09-12T09:40:55+00:00,push,neu,1,"Sat, 12 Sep 2026 08:47:11 GMT",10031,29559,413,0,8,7,,0,14.3,
2026-09-12T09:46:27+00:00,push,neu,1,"Sat, 12 Sep 2026 08:53:02 GMT",10031,29559,413,0,8,7,,0,14.4,
2026-09-12T09:51:22+00:00,push,unverändert,0,"Sat, 12 Sep 2026 08:53:02 GMT",10031,29559,413,,1,7,,0,10.8,
2026-09-12T09:53:58+00:00,push,neu,1,"Sat, 12 Sep 2026 09:53:03 GMT",10035,29574,413,12,8,7,,0,14.1,
2026-09-12T09:56:17+00:00,push,neu,1,"Sat, 12 Sep 2026 09:52:53 GMT",10035,29574,413,0,8,7,,0,17.8,
2026-09-12T10:03:50+00:00,schedule,unverändert,0,"Sat, 12 Sep 2026 09:52:53 GMT",10035,29574,413,,1,7,,0,12.2,
2026-09-12T10:05:06+00:00,push,unverändert,0,"Sat, 12 Sep 2026 09:52:53 GMT",10035,29574,413,,1,7,,0,13.4,
2026-09-12T10:21:14+00:00,push,unverändert,0,"Sat, 12 Sep 2026 09:52:53 GMT",10035,29574,413,,1,511,,0,857.2,
2026-09-12T10:39:18+00:00,push,unverändert,0,"Sat, 12 Sep 2026 09:52:53 GMT",10035,29574,413,,1,7,,0,12.1,
2026-09-12T11:03:10+00:00,schedule,neu,1,"Sat, 12 Sep 2026 10:53:03 GMT",10048,29607,413,11,8,7,,0,17.6,
2026-09-12T12:04:31+00:00,schedule,neu,1,"Sat, 12 Sep 2026 11:52:53 GMT",10059,29652,413,16,8,7,,0,17.7,
2026-09-12T12:49:38+00:00,push,unverändert,0,"Sat, 12 Sep 2026 11:52:53 GMT",10059,29652,413,,1,481,,0,703.7,
